test_id	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20
t1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
t2	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
t3	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
t4	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1
t5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
t6	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1
t7	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
t8	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
t9	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
t10	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
t11	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
t12	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
t13	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
t14	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
t15	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
t16	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
t17	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
t18	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
t19	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
t20	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
t21	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
t22	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
t23	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0
t24	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
t25	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
t26	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
t27	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
t28	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
t29	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
t30	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0